[docId: 666, similarityVal: 163.14441442296936]
[docId: 305, similarityVal: 162.27087042421405]
[docId: 540, similarityVal: 160.98940467802768]
[docId: 1301, similarityVal: 158.58016408154052]
[docId: 1281, similarityVal: 157.48585072167842]
[docId: 435, similarityVal: 156.71976281251904]
[docId: 629, similarityVal: 156.0483062662774]
[docId: 655, similarityVal: 155.63480518623822]
[docId: 1310, similarityVal: 155.01230787154336]
[docId: 329, similarityVal: 154.21726675407987]
[docId: 37, similarityVal: 154.21386397257317]
[docId: 1319, similarityVal: 154.00858686336812]
[docId: 36, similarityVal: 153.5486134288676]
[docId: 1076, similarityVal: 153.17158971433096]
[docId: 124, similarityVal: 152.79064974291978]
[docId: 553, similarityVal: 152.74464437794762]
[docId: 1222, similarityVal: 152.4491107166088]
[docId: 145, similarityVal: 152.40172638806732]
[docId: 19, similarityVal: 152.1886095519593]
[docId: 1051, similarityVal: 152.07472531353352]
[docId: 1171, similarityVal: 151.97426045098248]
[docId: 23, similarityVal: 151.66560052063937]
[docId: 347, similarityVal: 151.5886951941603]
[docId: 887, similarityVal: 151.50905709746843]
[docId: 294, similarityVal: 151.35283602582763]
[docId: 1117, similarityVal: 151.07155270690052]
[docId: 572, similarityVal: 150.0439695141141]
[docId: 1274, similarityVal: 149.60929881538104]
[docId: 342, similarityVal: 149.3272071547717]
[docId: 4, similarityVal: 149.19763462980882]
[docId: 1200, similarityVal: 149.18789155453075]
[docId: 1192, similarityVal: 149.18091775827887]
[docId: 1263, similarityVal: 149.07012317100023]
[docId: 784, similarityVal: 149.0691333189298]
[docId: 306, similarityVal: 148.949659083249]
[docId: 335, similarityVal: 148.89387019842513]
[docId: 1311, similarityVal: 148.56798885502505]
[docId: 1154, similarityVal: 148.56724059361684]
[docId: 798, similarityVal: 148.55157525437485]
[docId: 525, similarityVal: 148.36974339170013]
[docId: 326, similarityVal: 148.23895131785932]
[docId: 1375, similarityVal: 147.97102849561662]
[docId: 307, similarityVal: 147.9278532374621]
[docId: 928, similarityVal: 147.68903142513233]
[docId: 527, similarityVal: 147.6717909660135]
[docId: 135, similarityVal: 147.51493061559697]
[docId: 1185, similarityVal: 147.4891557985776]
[docId: 1070, similarityVal: 147.42500589762423]
[docId: 889, similarityVal: 147.3568714427684]
[docId: 142, similarityVal: 147.2872838389468]
[docId: 625, similarityVal: 147.22836338180215]
[docId: 925, similarityVal: 147.2017490097718]
[docId: 1386, similarityVal: 147.00951049119692]
[docId: 186, similarityVal: 146.8767395533754]
[docId: 1146, similarityVal: 146.8369693718275]
[docId: 188, similarityVal: 146.1982425932501]
[docId: 1106, similarityVal: 146.04097323807483]
[docId: 847, similarityVal: 145.60770885587192]
[docId: 35, similarityVal: 145.56323699954325]
[docId: 55, similarityVal: 145.5400306224467]
[docId: 556, similarityVal: 145.53030265525527]
[docId: 741, similarityVal: 145.50763003884026]
[docId: 740, similarityVal: 145.4785269098672]
[docId: 1021, similarityVal: 145.38528123172412]
[docId: 1029, similarityVal: 145.1357819425912]
[docId: 310, similarityVal: 145.10994581038398]
[docId: 128, similarityVal: 144.91475546857086]
[docId: 421, similarityVal: 144.67030759069524]
[docId: 1309, similarityVal: 144.51530509255454]
[docId: 1119, similarityVal: 144.49529314141154]
[docId: 1014, similarityVal: 144.3519439109913]
[docId: 1108, similarityVal: 143.97254668548507]
[docId: 769, similarityVal: 143.96175650357145]
[docId: 569, similarityVal: 143.91768621484206]
[docId: 1262, similarityVal: 143.90648284200566]
[docId: 843, similarityVal: 143.58280607332713]
[docId: 927, similarityVal: 143.57132714121]
[docId: 739, similarityVal: 143.5328454907071]
[docId: 1126, similarityVal: 143.5088051714061]
[docId: 1159, similarityVal: 143.27483726129702]
[docId: 123, similarityVal: 143.27097236414636]
[docId: 1068, similarityVal: 143.2535184536425]
[docId: 941, similarityVal: 143.1399468132756]
[docId: 503, similarityVal: 143.12153266376126]
[docId: 179, similarityVal: 142.78896180020752]
[docId: 886, similarityVal: 142.7156403475359]
[docId: 1074, similarityVal: 142.4642653049153]
[docId: 743, similarityVal: 142.32561904788182]
[docId: 565, similarityVal: 142.31508687161795]
[docId: 54, similarityVal: 142.26540905923136]
[docId: 1043, similarityVal: 142.18943856547875]
[docId: 211, similarityVal: 142.1375593388651]
[docId: 84, similarityVal: 142.10191548048778]
[docId: 1145, similarityVal: 142.06516118748286]
[docId: 266, similarityVal: 141.87427837117843]
[docId: 826, similarityVal: 141.82556191791122]
[docId: 2, similarityVal: 141.82427053974934]
[docId: 576, similarityVal: 141.6250794543276]
[docId: 494, similarityVal: 141.57125311212857]
[docId: 25, similarityVal: 141.56967102887182]
[docId: 610, similarityVal: 141.48214645869814]
[docId: 131, similarityVal: 141.4193412079748]
[docId: 1071, similarityVal: 141.27685568656284]
[docId: 465, similarityVal: 141.2742980690116]
[docId: 801, similarityVal: 141.21493332636936]
[docId: 839, similarityVal: 141.21439915868854]
[docId: 897, similarityVal: 141.20918460304168]
[docId: 1366, similarityVal: 141.1320062348614]
[docId: 535, similarityVal: 141.12432615328365]
[docId: 496, similarityVal: 141.10526368817597]
[docId: 761, similarityVal: 141.10007549576486]
[docId: 1241, similarityVal: 141.07815336724846]
[docId: 663, similarityVal: 141.0481308858833]
[docId: 122, similarityVal: 141.02444991771208]
[docId: 760, similarityVal: 141.01689559150827]
[docId: 642, similarityVal: 140.92825377939735]
[docId: 74, similarityVal: 140.7920101514797]
[docId: 888, similarityVal: 140.78799459905196]
[docId: 191, similarityVal: 140.72202412962173]
[docId: 1235, similarityVal: 140.7062162403684]
[docId: 1231, similarityVal: 140.60998129619887]
[docId: 334, similarityVal: 140.50370226456474]
[docId: 304, similarityVal: 140.47842518138148]
